name;idCountry;IdState
El Encanto;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
La Chorrera;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
La Pedrera;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
La Victoria;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Leticia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Miriti - Paraná;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Puerto Alegria;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Puerto Arica;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Puerto Nariño;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Puerto Santander;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Tarapacá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Cáceres;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Caucasia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
El Bagre;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Nechí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Tarazá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Zaragoza;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Caracolí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Maceo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Puerto Berrio;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Puerto Nare;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Puerto Triunfo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Yondó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Amalfi;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Anorí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Cisneros;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Remedios;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Roque;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Santo Domingo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Segovia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Vegachí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Yalí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Yolombó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Angostura;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Belmira;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Briceño;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Campamento;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Carolina;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Don Matias;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Entrerrios;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Gómez Plata;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Guadalupe;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Ituango;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Andrés;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San José De La Montaña;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Pedro;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Santa Rosa De Osos;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Toledo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Valdivia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Yarumal;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Abriaquí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Anza;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Armenia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Buriticá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Cañasgordas;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Dabeiba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Ebéjico;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Frontino;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Giraldo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Heliconia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Liborina;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Olaya;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Peque;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Sabanalarga;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Jerónimo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Santafé De Antioquia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Sopetran;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Uramita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Abejorral;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Alejandría;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Argelia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Carmen De Viboral;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Cocorná;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Concepción;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Granada;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Guarne;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Guatape;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
La Ceja;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
La Unión;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Marinilla;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Nariño;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Peñol;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Retiro;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Rionegro;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Carlos;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Francisco;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Luis;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Rafael;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Vicente;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Santuario;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Sonson;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Amaga;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Andes;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Angelopolis;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Betania;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Betulia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Caicedo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Caramanta;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Ciudad Bolívar;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Concordia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Fredonia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Hispania;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Jardín;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Jericó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
La Pintada;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Montebello;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Pueblorrico;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Salgar;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Santa Barbara;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Támesis;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Tarso;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Titiribí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Urrao;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Valparaiso;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Venecia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Apartadó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Arboletes;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Carepa;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Chigorodó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Murindó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Mutata;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Necoclí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Juan De Uraba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
San Pedro De Uraba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Turbo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Vigía Del Fuerte;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Barbosa;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Bello;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Caldas;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Copacabana;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Envigado;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Girardota;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Itagui;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
La Estrella;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Medellín;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Sabaneta;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Arauca;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Arauquita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Cravo Norte;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Fortul;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Puerto Rondón;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Saravena;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Tame;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3de
Providencia Y Santa Catalina;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3df
San Andres;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3df
Barranquilla;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Galapa;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Malambo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Puerto Colombia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Soledad;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Campo De La Cruz;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Candelaria;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Luruaco;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Manati;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Repelon;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Santa Lucia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Suan;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Baranoa;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Palmar De Varela;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Polonuevo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Ponedera;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Sabanagrande;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Sabanalarga;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Santo Tomas;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Juan De Acosta;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Piojó;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Tubara;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Usiacuri;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e0
Bogota D.C.;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e3
Cicuco;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Hatillo De Loba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Margarita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Mompós;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Fernando;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Talaigua Nuevo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Arjona;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Arroyohondo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Calamar;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Cartagena;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Clemencia;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Mahates;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Cristobal;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Estanislao;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Santa Catalina;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Santa Rosa De Lima;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Soplaviento;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Turbaco;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Turbana;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Villanueva;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Altos Del Rosario;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Barranco De Loba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
El Peñon;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Regidor;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Río Viejo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Martin De Loba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Arenal;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Cantagallo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Morales;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Pablo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Santa Rosa Del Sur;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Simití;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Achí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Magangué;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Montecristo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Pinillos;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Jacinto Del Cauca;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Tiquisio;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Carmen De Bolívar;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Córdoba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
El Guamo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
María La Baja;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Jacinto;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
San Juan Nepomuceno;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Zambrano;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e1
Chíquiza;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Chivatá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Cómbita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Cucaita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Motavita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Oicatá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Samacá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Siachoque;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Sora;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Soracá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Sotaquirá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Toca;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Tunja;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Tuta;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Ventaquemada;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Chiscas;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Cubará;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
El Cocuy;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
El Espino;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Guacamayas;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Güicán;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Panqueba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Labranzagrande;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Pajarito;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Paya;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Pisba;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Berbeo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Campohermoso;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Miraflores;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Páez;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
San Eduardo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Zetaquira;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Boyacá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Ciénega;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Jenesano;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Nuevo Colón;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Ramiriquí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Rondón;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Tibaná;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Turmequé;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Umbita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Viracachá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Chinavita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Garagoa;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Macanal;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Pachavita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
San Luis De Gaceno;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Santa María;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Boavita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Covarachía;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
La Uvita;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
San Mateo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Sativanorte;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Sativasur;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Soatá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Susacón;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Tipacoque;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Briceño;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Buenavista;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Caldas;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dd
Chiquinquirá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Coper;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
La Victoria;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3dc
Maripí;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Muzo;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Otanche;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Pauna;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Puerto Boyaca;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Quípama;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Saboyá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
San Miguel De Sema;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
San Pablo Borbur;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Tununguá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Almeida;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Chivor;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Guateque;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Guayatá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
La Capilla;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Somondoco;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Sutatenza;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Tenza;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Arcabuco;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Chitaraque;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Gachantivá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Moniquirá;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
Ráquira;6511ea6285f35ec7b86c7633;65368d4331acd55571c0c3e2
